"No.","Time","Source","Destination","Protocol","Length","Info","TX rate","Channel","Frequency","Signal"
"1","0.000000","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=21/5376, ttl=128 (reply in 2)","48.0","11","2462MHz","-37 dBm"
"2","0.000921","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=21/5376, ttl=127 (request in 1)","36.0","11","2462MHz","-75 dBm"
"3","1.002244","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=22/5632, ttl=128 (reply in 4)","48.0","11","2462MHz","-37 dBm"
"4","1.003233","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=22/5632, ttl=127 (request in 3)","36.0","11","2462MHz","-74 dBm"
"5","2.005228","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=23/5888, ttl=128 (reply in 6)","48.0","11","2462MHz","-36 dBm"
"6","2.006113","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=23/5888, ttl=127 (request in 5)","36.0","11","2462MHz","-75 dBm"
"7","3.007252","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=24/6144, ttl=128 (reply in 8)","48.0","11","2462MHz","-36 dBm"
"8","3.008476","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=24/6144, ttl=127 (request in 7)","36.0","11","2462MHz","-74 dBm"
"9","313.634923","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=25/6400, ttl=128 (reply in 10)","54.0","11","2462MHz","-35 dBm"
"10","313.635844","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=25/6400, ttl=127 (request in 9)","36.0","11","2462MHz","-77 dBm"
"11","314.637023","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=26/6656, ttl=128 (reply in 12)","54.0","11","2462MHz","-35 dBm"
"12","314.637964","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=26/6656, ttl=127 (request in 11)","36.0","11","2462MHz","-76 dBm"
"13","315.639015","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=27/6912, ttl=128 (no response found!)","54.0","11","2462MHz","-34 dBm"
"14","316.690973","192.168.0.106","192.168.0.1","ICMP","128","Echo (ping) request  id=0x0001, seq=28/7168, ttl=128 (reply in 15)","54.0","11","2462MHz","-37 dBm"
"15","316.692089","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=28/7168, ttl=127 (request in 14)","36.0","11","2462MHz","-76 dBm"
"16","316.692819","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=28/7168, ttl=127","36.0","11","2462MHz","-76 dBm"
"17","316.693936","192.168.0.1","192.168.0.106","ICMP","128","Echo (ping) reply    id=0x0001, seq=28/7168, ttl=127","24.0","11","2462MHz","-75 dBm"
