eventType,nodeId,sourceId,destinationId,informationalMessage,transmittedMessage,newSimSpeed,nodeX,nodeY,nodeRange,nodeType,currentQuantum,isPromiscuous,isDroppingMessages,isMalicious,isOverridingHops,isChangingMessages,isReplayingMessages,isNotExpiringRoutes,hops
IN_NEW_SIM,,,,,,0,0,0,0,AODV,0,false,false,false,false,false,false,false,0
OUT_NEW_SIM,,,,New AODV Simulation Created.,,0,0,0,0,AODV,0,false,false,false,false,false,false,false,0
IN_ADD_NODE,,,,,,0,1057,34,388,,0,false,false,false,false,false,false,false,0
OUT_ADD_NODE,A,,,Node Added: A.,,0,1057,34,388,,0,false,false,false,false,false,false,false,0
IN_ADD_NODE,,,,,,0,1369,349,176,,0,false,false,false,false,false,false,false,0
OUT_ADD_NODE,B,,,Node Added: B.,,0,1369,349,176,,0,false,false,false,false,false,false,false,0
IN_ADD_NODE,,,,,,0,411,208,326,,0,false,false,false,false,false,false,false,0
OUT_ADD_NODE,C,,,Node Added: C.,,0,411,208,326,,0,false,false,false,false,false,false,false,0
IN_ADD_NODE,,,,,,0,1082,139,376,,0,false,false,false,false,false,false,false,0
OUT_ADD_NODE,D,,,Node Added: D.,,0,1082,139,376,,0,false,false,false,false,false,false,false,0
IN_ADD_NODE,,,,,,0,666,300,442,,0,false,false,false,false,false,false,false,0
OUT_ADD_NODE,E,,,Node Added: E.,,0,666,300,442,,0,false,false,false,false,false,false,false,0
IN_ADD_NODE,,,,,,0,347,320,330,,0,false,false,false,false,false,false,false,0
OUT_ADD_NODE,F,,,Node Added: F.,,0,347,320,330,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,191,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:191.,,0,519,191,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,181,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:181.,,0,519,181,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,171,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:171.,,0,519,171,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,161,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:161.,,0,519,161,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,151,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:151.,,0,519,151,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,141,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:141.,,0,519,141,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,131,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:131.,,0,519,131,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,121,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:121.,,0,519,121,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,131,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:131.,,0,519,131,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,141,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:141.,,0,519,141,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,151,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:151.,,0,519,151,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,161,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:161.,,0,519,161,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,519,171,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:519 Y:171.,,0,519,171,0,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,306,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 306.,,0,0,0,306,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,286,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 286.,,0,0,0,286,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,266,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 266.,,0,0,0,266,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,246,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 246.,,0,0,0,246,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,226,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 226.,,0,0,0,226,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,330,186,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:330 Y:186.,,0,330,186,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,336,218,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:336 Y:218.,,0,336,218,0,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,339,276,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:339 Y:276.,,0,339,276,0,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,206,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 206.,,0,0,0,206,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,186,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 186.,,0,0,0,186,,0,false,false,false,false,false,false,false,0
IN_SET_NODE_RANGE,C,,,,,0,0,0,166,,0,false,false,false,false,false,false,false,0
OUT_SET_NODE_RANGE,C,,,Node C's range changed to 166.,,0,0,0,166,,0,false,false,false,false,false,false,false,0
IN_MOVE_NODE,C,,,,,0,378,266,0,,0,false,false,false,false,false,false,false,0
OUT_MOVE_NODE,C,,,Node C moved to X:378 Y:266.,,0,378,266,0,,0,false,false,false,false,false,false,false,0
